"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"ABCB4<XBSP>","1T2020",4046680
"ABCB4<XBSP>","2T2020",4093299
"ABCB4<XBSP>","3T2020",4187557
"ABCB4<XBSP>","4T2020",4288263
"ABCB4<XBSP>","1T2021",4391952
"ABCB4<XBSP>","2T2021",4459170
"ABCB4<XBSP>","3T2021",4554960
"ABCB4<XBSP>","4T2021",4669463
"ABCB4<XBSP>","1T2022",4774273
"ABCB4<XBSP>","2T2022",4910571
"ABCB4<XBSP>","3T2022",5070725
"ABCB4<XBSP>","4T2022",5205386
"ABCB4<XBSP>","1T2023",5303106
"ABCB4<XBSP>","2T2023",5420811
"ABCB4<XBSP>","3T2023",5721807
"ABCB4<XBSP>","4T2023",5871729
"ABCB4<XBSP>","1T2024",6138130
"ABCB4<XBSP>","2T2024",6235066
"EALT3<XBSP>","1T2010","-"
"EALT3<XBSP>","2T2010","-"
"EALT3<XBSP>","3T2010","-"
"EALT3<XBSP>","4T2010","-"
"EALT3<XBSP>","1T2011","-"
"EALT3<XBSP>","2T2011","-"
"EALT3<XBSP>","3T2011","-"
"EALT3<XBSP>","4T2011","-"
"EALT3<XBSP>","1T2012","-"
"EALT3<XBSP>","2T2012","-"
"EALT3<XBSP>","3T2012","-"
"EALT3<XBSP>","4T2012","-"
"EALT3<XBSP>","1T2013","-"
"EALT3<XBSP>","2T2013","-"
"EALT3<XBSP>","3T2013","-"
"EALT3<XBSP>","4T2013","-"
"EALT3<XBSP>","1T2014","-"
"EALT3<XBSP>","2T2014","-"
"EALT3<XBSP>","3T2014","-"
"EALT3<XBSP>","4T2014","-"
"EALT3<XBSP>","1T2015","-"
"EALT3<XBSP>","2T2015","-"
"EALT3<XBSP>","3T2015","-"
"EALT3<XBSP>","4T2015","-"
"EALT3<XBSP>","1T2016","-"
"EALT3<XBSP>","2T2016","-"
"EALT3<XBSP>","3T2016","-"
"EALT3<XBSP>","4T2016","-"
"EALT3<XBSP>","1T2017","-"
"EALT3<XBSP>","2T2017","-"
"EALT3<XBSP>","3T2017","-"
"EALT3<XBSP>","4T2017","-"
"EALT3<XBSP>","1T2018","-"
"EALT3<XBSP>","2T2018",94980
"EALT3<XBSP>","3T2018",98526
"EALT3<XBSP>","4T2018",154624
"EALT3<XBSP>","1T2019",160374
"EALT3<XBSP>","2T2019",160878
"EALT3<XBSP>","3T2019",165525
"EALT3<XBSP>","4T2019",162778
"EALT3<XBSP>","1T2020",167583
"EALT3<XBSP>","2T2020",168715
"EALT3<XBSP>","3T2020",179500
"EALT3<XBSP>","4T2020",183640
"EALT3<XBSP>","1T2021",180267
"EALT3<XBSP>","2T2021",185711
"EALT3<XBSP>","3T2021",194506
"EALT3<XBSP>","4T2021",187717
"EALT3<XBSP>","1T2022",188886
"EALT3<XBSP>","2T2022",197779
"EALT3<XBSP>","3T2022",204685
"EALT3<XBSP>","4T2022",215087
"EALT3<XBSP>","1T2023",212507
"EALT3<XBSP>","2T2023",221860
"EALT3<XBSP>","3T2023",231271
"EALT3<XBSP>","4T2023",243576
"EALT3<XBSP>","1T2024",252047
"EALT3<XBSP>","2T2024",259603
"EALT4<XBSP>","1T2010","-"
